-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.100,  0.247
-183.798, 80.187, 0.210,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.162, 0.454,  0.346
-183.785, 80.144, 0.546,  0.379
-183.775, 80.121, 0.726,  0.412
-183.761, 80.093, 0.859,  0.445
-183.743, 80.060, 1.026,  0.478
-183.722, 80.022, 1.189,  0.511
-183.701, 79.979, 1.350,  0.544
-183.679, 79.931, 1.499,  0.577
-183.656, 79.880, 1.621,  0.610
-183.633, 79.826, 1.712,  0.643
-183.610, 79.770, 1.773,  0.676
-183.587, 79.713, 1.809,  0.709
-183.564, 79.655, 1.825,  0.742
-183.541, 79.598, 1.825,  0.775
-183.518, 79.542, 1.814,  0.808
-183.495, 79.486, 1.793,  0.841
-183.472, 79.431, 1.767,  0.874
-183.449, 79.377, 1.739,  0.907
-183.426, 79.324, 1.709,  0.940
-183.403, 79.272, 1.679,  0.973
-183.380, 79.222, 1.651,  1.006
-183.357, 79.172, 1.627,  1.039
-183.335, 79.122, 1.606,  1.072
-183.312, 79.074, 1.590,  1.105
-183.289, 79.025, 1.579,  1.138
-183.266, 78.977, 1.573,  1.171
-183.243, 78.929, 1.572,  1.204
-183.219, 78.881, 1.575,  1.237
-183.196, 78.833, 1.582,  1.270
-183.172, 78.785, 1.592,  1.303
-183.148, 78.736, 1.604,  1.336
-183.124, 78.687, 1.618,  1.369
-183.100, 78.638, 1.634,  1.402
-183.076, 78.588, 1.644,  1.435
-183.051, 78.538, 1.653,  1.468
-183.027, 78.488, 1.663,  1.501
-183.003, 78.437, 1.672,  1.534
-182.978, 78.387, 1.681,  1.567
-182.953, 78.336, 1.690,  1.600
-182.929, 78.284, 1.698,  1.633
-182.904, 78.233, 1.706,  1.666
-182.879, 78.181, 1.713,  1.699
-182.855, 78.129, 1.719,  1.732
